38.2617,-120.268097,Calaveras Big Trees State Park,4
33.895401,-117.417542,California Citrus State Historic Park,4
40.34943,-121.590172,California Mining and Mineral Museum,4
36.974347,-121.953519,California State Capitol,4
38.576611,-121.493889,California State Capitol Museum,4
38.573109,-121.472183,California State Indian Museum,4
38.584782,-121.50386,California State Railroad Museum,4
37.716679,-122.378197,Candlestick Point State Recreation Area,4
33.670078,-118.020721,Cardiff State Beach,4
33.670078,-118.020721,Carlsbad State Beach,4
33.670078,-118.020721,Carmel River State Beach,4
37.271881,-119.270233,Carnegie State Vehicular Recreation Area,4
33.670078,-118.020721,Carpinteria State Beach,4
37.271881,-119.270233,Caspar Headlands State Reserve,4
33.670078,-118.020721,Caspar Headlands State Beach,4
37.271881,-119.270233,Castaic Lake State Recreation Area,4
41.149269,-122.317467,Castle Crags State Park,4
37.23032,-122.094543,Castle Rock State Park,4
34.16198,-116.057129,Castro Adobe,4
37.702702,-121.18177,Caswell Memorial State Park,4
33.670078,-118.020721,Cayucos State Beach,4
38.003609,-122.467003,China Camp State Park,4
33.91217,-117.74028,Chino Hills State Park,4
34.505249,-119.788513,Chumash Painted Cave State Historic Park,4
37.271881,-119.270233,Clay Pit State Vehicular Recreation Area,4
39.0098,-122.814049,Clear Lake State Park,4
35.866112,-119.38623,Colonel Allensworth State Historic Park,4
38.034031,-120.40081,Columbia State Historic Park,4
39.005878,-121.816994,Colusa-Sacramento River State Recreation Area,4
37.32687,-121.898003,Cornfield State Park,4
33.670078,-118.020721,Corona del Mar State Beach,4
37.32687,-121.898003,Cowell Ranch/John Marsh State Historic Park,4
33.564281,-117.825623,Crystal Cove State Park,4
32.933762,-116.562607,Cuyamaca Rancho State Park,4
38.97224,-120.098267,D. L. Bliss State Park,4
41.66325,-124.112671,Del Norte Coast Redwoods State Park,4
37.923245,-122.507769,Delta Meadows,4
33.670078,-118.020721,Dockweiler State Beach,4
33.670078,-118.020721,Doheny State Beach,4
39.32386,-120.22834,Donner Memorial State Park,4
37.32687,-121.898003,Eastshore State Park,4
33.670078,-118.020721,El Capitán State Beach,4
37.32687,-121.898003,El Escorpion State Park,4
37.32687,-121.898003,El Presidio de Santa Barbara State Historic Park,4
38.948898,-120.087914,Emerald Bay State Park,4
37.83717,-122.302078,Emeryville Crescent State Marine Reserve,4
33.670078,-118.020721,Emma Wood State Beach,4
39.20763,-121.045631,Empire Mine State Historic Park,4
37.32687,-121.898003,Estero Bluffs State Park,4
38.738129,-121.130882,Folsom Lake State Recreation Area,4
37.32687,-121.898003,Folsom Powerhouse State Historic Park,4
37.05101,-121.88636,The Forest of Nisene Marks State Park,4
40.777,-124.188721,Fort Humboldt State Historic Park,4
37.32687,-121.898003,Fort Ord Dunes State Park,4
38.51836,-123.245667,Fort Ross State Historic Park,4
34.87571,-118.893982,Fort Tejon State Historic Park,4
38.041599,-121.620537,Franks Tract State Recreation Area,4
36.760208,-121.502853,Fremont Peak State Park,4
36.465889,-121.899429,Garrapata State Park,4
34.475689,-120.228462,Gaviota State Park,4
37.354759,-120.960693,George J. Hatfield State Recreation Area,4
37.32687,-121.898003,Governor s Mansion State Historic Park,4
33.670078,-118.020721,Gray Whale Cove State Beach,4
37.309589,-120.930908,Great Valley Grasslands State Park,4
33.670078,-118.020721,Greenwood State Beach,4
40.486622,-123.903503,Grizzly Creek Redwoods State Park,4
38.695229,-119.836777,Grover Hot Springs State Park,4
33.670078,-118.020721,Half Moon Bay State Beach,4
37.32687,-121.898003,Harmony Headlands State Park,4
37.271881,-119.270233,Harry A. Merlo State Recreation Area,4
